"","tree","chamber","date","flux","fluxMedian","fluxSD","flux_g","fluxMedian_g","fluxSD_g","AIC","r2"
"156","37","3","2017-06-28","3.39350591962117",NA,"0.0454433759030458","3.52161212548924",NA,"0.0471588815207361","134.42637984917","0.992171413798518"
"157","38","1","2017-06-28","0.644504655578202",NA,"0.0402071490892913","0.668834964128141",NA,"0.0417249850502716","151.692621920672","0.839842162357673"
"158","38","2","2017-06-28","1.26442492686515",NA,"0.020626715492843","1.31215747362428",NA,"0.021405382253384","70.536569173504","0.987906617617275"
"159","39","1","2017-06-28","1.08735566071523","1.11636084624491","0.0807868835395088","1.12840377184949","1.15850391473499","0.0838366207078787","162.332626469695","0.977161065528633"
"160","39","2","2017-06-28","2.65454072148978",NA,"0.0324048989483129","2.75475069554231",NA,"0.0336281968455713","117.308236317779","0.993044805792493"
"161","40","1","2017-06-28","1.31629012716683",NA,"0.0239136274964377","1.36598060598343",NA,"0.0248163764998792","39.0568437780811","0.988257507402669"
"162","40","2","2017-06-28","1.38137269302481",NA,"0.0276242243794423","1.43352006473558",NA,"0.028667049899456","92.2708343836377","0.982322331579826"
"163","41","1","2017-06-28","1.93809173723499",NA,"0.017614484967362","2.01125547555231",NA,"0.0182794388206739","73.8588076538412","0.995804963909212"
"164","41","2","2017-06-28","2.02171810975012",NA,"0.0250066839361039","2.09803877708043",NA,"0.0259506962573654","67.542932372067","0.993615328158992"
"165","1","1","2017-07-06",NA,NA,NA,NA,NA,NA,NA,NA
"166","2","1","2017-07-06","1.65685050639824","1.65056831726928","0.121549146461629","1.71939727575497","1.71287793147352","0.126137675360214","215.928411863566","0.963497550767863"
"167","2","2","2017-07-06","3.71537079047199","3.58726161357091","0.283999529377505","3.85562752396062","3.72268217438786","0.294720625211317","214.715696559563","0.992714184751467"
"168","2","3","2017-07-06","3.420895339338","3.85013901345492","0.440789254027621","3.55003550675614","3.99548330126845","0.457429224682865","281.748785559078","0.972669224729575"
"169","3","1","2017-07-06","2.10749232577188",NA,"0.0449848673004225","2.1870510040667",NA,"0.0466830640349604","97.8074239804805","0.982981170820377"
"170","4","1","2017-07-06","2.60150114049578",NA,"0.0441149649994211","2.69970884914996",NA,"0.0457803225741352","177.819635968683","0.985267336626831"
"171","5","1","2017-07-06","1.49883831348553","1.44841748060429","0.339883789706774","1.55542005935494","1.5030958198641","0.35271453872172","268.728317456638","0.933469310665402"
"172","5","2","2017-07-06","1.41994822750452",NA,"0.0277078493797087","1.47355184107211",NA,"0.0287538317769325","75.4598157045868","0.98462847818501"
"173","6","1","2017-07-06","3.60099424724696",NA,"0.0489041462271358","3.73693322047823",NA,"0.0507502973088687","141.395220951974","0.991950127133869"
"174","7","1","2017-07-06","1.30909874384721",NA,"0.0311012709919721","1.35851774506694",NA,"0.0322753564124274","135.076831812482","0.972019428280314"
"175","8","1","2017-07-06","1.26512156462424",NA,"0.0327628028878763","1.31288040973743",NA,"0.0339996118020147","136.848517465783","0.967555327571285"
"176","8","2","2017-07-06","2.60646916564",NA,"0.0659582921128147","2.70486441923058",NA,"0.0684482440233903","188.118470522189","0.970781823098258"
"177","8","3","2017-07-06","2.97760972030004",NA,"0.0407995545224391","3.09001567828526",NA,"0.0423397540254829","100.478231226334","0.992546058913514"
"178","9","1","2017-07-06","3.67561967897908","4.00813415014116","0.534635927846437","3.81437579210841","4.15944281756265","0.554818647977012","570.45395185596","0.523713571425901"
"179","10","1","2017-07-06","1.07538037610098",NA,"0.0258811955825179","1.11597641545094",NA,"0.0268582210682362","116.361413894212","0.971307308560706"
"180","10","2","2017-07-06","2.67260706021742",NA,"0.0467832814899306","2.77349904578345",NA,"0.048549369079488","100.970376732279","0.988490217637648"
"181","11","1","2017-07-06","1.22384644283623",NA,"0.0215785528738855","1.27004713559187",NA,"0.0223931518762958","53.8756389128303","0.98741439539276"
